company,tier,year,doc_type,filename,tokens,agentic_share_of_automation,raw_agentic,raw_prior_gen_automation,dim_role_evolution_per10k,dim_tech_stack_per10k,dim_governance_per10k,stage_assisted,stage_augmented,stage_frontier,automation_depth_distribution_per10k,automation_depth_underwriting_per10k,automation_depth_pricing_actuarial_per10k,automation_depth_claims_per10k,automation_depth_servicing_per10k,automation_depth_billing_per10k
Generali,A,2025,Annual Report,generali 2025 annual report.pdf,235712,0.73,24,9,2.72,14.68,1.7,466,40,15,0.0,0.0,0.0,0.0,0.04,0.0
Helvetia Baloise,B,2024,Annual Report,helvetia baloise 2024 annual report.pdf,363100,0.56,9,7,1.16,3.42,2.73,546,77,45,0.0,0.0,0.03,0.06,0.03,0.0
Hiscox,B,2023,Annual Report,hiscox 2023 annual report.pdf,127719,0.6,6,4,1.49,1.33,1.02,247,13,27,0.0,0.0,0.16,0.0,0.0,0.0
Hiscox,B,2024,Annual Report,hiscox 2024 annual report.pdf,117033,0.75,12,4,1.97,1.03,1.54,218,23,23,0.26,0.85,0.26,0.26,0.26,0.0
Hiscox,B,2025,Annual Report,hiscox 2025 annual report.pdf,115562,0.72,13,5,1.9,1.3,1.3,208,68,15,0.26,0.35,0.0,0.95,0.17,0.0
Lemonade,C,2023,SFCR,lemonade SFCR 2023.pdf,23703,0.75,3,1,4.22,1.27,0.84,48,9,3,0.0,0.0,0.84,0.0,0.0,0.0
Lemonade,C,2024,SFCR,lemonade SFCR 2024.pdf,30592,0.75,3,1,4.9,0.65,1.96,63,18,4,0.0,0.0,0.33,0.0,0.0,0.0
Lemonade,C,2025,SFCR,lemonade SFCR 2025.pdf,30017,0.86,6,1,5.66,0.67,2.33,66,16,12,0.0,1.0,0.67,1.0,1.0,0.0
Mapfre,A,2023,Annual Report,mapfre 2023 annual report.pdf,40105,0.0,0,0,0.25,0.0,0.0,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mapfre,A,2024,Annual Report,mapfre 2024 annual report.pdf,226646,0.75,9,3,2.74,5.52,3.09,347,37,5,0.0,0.0,0.0,0.0,0.0,0.0
Mapfre,A,2025,Annual Report,mapfre 2025 annual report.pdf,222947,0.81,13,3,2.11,5.25,2.78,351,49,5,0.0,0.0,0.0,0.36,0.18,0.0
Marshmallow,C,2023,SFCR,marshmallow 2023 SFCR.pdf,20203,1.0,1,0,3.96,0.99,2.97,34,4,3,0.0,0.0,0.0,0.0,0.0,0.0
